31.492641162035394,-60.74569428431064,-2.350423644333686;30.857187219174328,2.0920824619693743,-12.135850007987944;-9.04482965672867,8.101596657262004,-7.653440675775094;11.158130796619252,-6.676241360820654,20.61679269217376;3.6297779072727803,3.5456860745057135,-2.967015666880455;-2.9444471560542866,0.8248750048341744,-8.138449317171258;-1.855933801717903,2.9841649925766807,-1.4092259892336578;-0.5986258918016616,8.78129557200155,-6.678840898399196;-1.2956693027682094,0.4995470914997602,-3.621475974186893;-5.122463745576877,0.06466613821302647,-1.2523479389727115;-5.226062778459626,16.00547272476499,-7.109474495127099;-3.9165760719670084,0.34425773355350353,-3.5149447578101345;-0.9781418114108138,-3.3362099444187656,-5.826099120166347;-23.309600830078125,17.705230712890625,-5.847499847412109;10.594780932923197,11.408725002406934,2.4138790049505765;-4.440237002554587,4.873717342966831,-0.1559946056661623;-0.1404349175954428,-5.626892871237242,-4.897620697059008;
31.7856579439371,-60.76198962256226,-3.132609864562797;30.766044660064722,1.2749422192584818,-12.554387428999306;-9.005646747982194,8.096107192830406,-8.230880873185127;11.056941073976974,-6.713899717695793,19.32413744529749;3.6914995825389987,4.204788647040246,-3.816434167864342;-2.9427083731370165,0.8246029724038094,-9.016883044111829;-1.8672284932839673,2.9843856965810733,-0.8752553780052068;-0.5624170961201449,9.537920089217742,-7.001762778847434;-1.2977868152486622,0.4997164633677767,-4.634723478634889;-5.133423439562629,0.06507726913126577,-1.3652871918862246;-5.2038646130293795,16.264354288094594,-7.632144866383399;-3.9229399629451285,0.3448528861921797,-3.8101738391382227;-0.9752421936846567,-3.336447357369743,-5.788299314483069;-23.309600830078125,17.705230712890625,-5.847499847412109;10.52907170074488,11.804829818211694,1.2825731416726356;-4.4624938631059985,4.874038048839997,-0.6516695420633916;-0.14756182325631662,-5.62622446988183,-5.054351242786623;
31.880197324693267,-60.76833711070325,-3.3855311218190174;30.70549501162688,0.7572740459078853,-12.818962414339133;-8.929560691998187,8.084246798440923,-9.355448693506494;10.927284370305232,-6.758283038054872,17.683197268700773;3.7635503265651655,5.1600402488234725,-4.521167127843464;-2.942723083586778,0.8245788285652462,-9.018215390492188;-1.8711675481586094,2.9844131637374427,-0.6876555016575665;-0.5557229489206446,9.56195060069919,-8.048882330746784;-1.3004256733308317,0.5000075548055246,-5.939978082922153;-5.1864983619673986,0.06689723237006673,-1.911636104105753;-5.182938990449891,16.56235227266889,-7.68911380123015;-3.957362889318606,0.3480747661431256,-5.3751227668171495;-1.0491082367499946,-3.3280997582380634,-6.762430567596109;-23.309600830078125,17.705230712890625,-5.847499847412109;10.517969267282684,12.157696639172485,1.268266166227793;-4.538463042702896,4.876476062520941,-2.342052206411438;-0.1914444123021588,-5.6219224677903945,-6.0183474440932585;
31.65236489082827,-60.75393658543139,-2.7764056235561956;30.61929926309806,0.048923969986376825,-13.180208353046412;-8.832229995881962,8.066662970935122,-10.799693294131787;10.917629363955735,-6.761111142415686,17.56124464582042;3.766550283282101,5.654105960988422,-3.789195700463347;-2.9423600925262354,0.8245725203111195,-9.187280621066655;-1.8639753302165838,2.984361121728598,-1.0271112393184865;-0.5447593714956545,9.816132803459682,-7.911559838215631;-1.3015597310173808,0.5000437684784911,-6.442936180162441;-5.233738289625154,0.06815155800996986,-2.394809580531792;-5.167461445750231,16.772881738202422,-7.771054074029884;-3.96300190067776,0.3477435843789245,-5.596539495839409;-1.1000126483182644,-3.3220968673636895,-7.433016133219624;-23.309600830078125,17.705230712890625,-5.847499847412109;10.507395612233331,12.679232340894643,1.408721740496265;-4.605687979479373,4.879233321032918,-3.8235502808688473;-0.24203346902438205,-5.616176274447561,-7.130619274202893;
31.93457161951155,-60.771916957712826,-3.531170924612905;30.89099890095588,2.4089421949208933,-11.973208738997549;-9.01374490218168,8.097203117895388,-8.112281609666793;11.067384684272694,-6.710085316883096,19.457042378933153;3.9485757787843205,6.706552841291429,-7.8891359545582755;-2.9366284260455124,0.8236384435784244,-12.027073280337504;-1.83762201284854,2.983812517631526,-2.2736191442733933;-0.5156103401869451,10.261210209581055,-9.512760478118244;-1.3051370444005852,0.5003341921613419,-8.13559447702653;-5.293691483835128,0.06992852476341094,-3.008993866965671;-5.136572854827859,17.058733156805257,-9.023701525257408;-3.974816708828851,0.3474640564421293,-6.097364353881609;-1.1425284864721816,-3.3171117004904183,-7.992752617612961;-23.309600830078125,17.705230712890625,-5.847499847412109;10.455170435902248,13.093690251138032,0.6183750758677711;-4.694636769446068,4.8852489598912845,-5.791327319904603;-0.30275567913736656,-5.60803383883558,-8.468549046618929;
32.14082701145214,-60.78814460879389,-4.084786358278803;30.790004579989972,1.5084469659022153,-12.434355175224033;-9.696170575596943,8.134883575367585,1.8961547030271984;10.553943345217299,-6.862501112553572,13.039859181557844;5.382897460180046,9.561109492908615,-57.27241752456624;-2.851041268908578,0.6741641687644471,-108.13789356693785;-0.8433716545318195,2.389547132483643,-59.38467704018902;-0.09712105813615968,14.47385645924741,-59.812186750924866;-1.4026521467722992,0.6515763995442544,-106.02059140964559;-9.717219152124907,2.7124144284038705,-58.22039962253619;-4.617568033194743,19.010814591739422,-62.03345688101616;-5.071562784510622,1.9436548767219155,-104.5547544023793;-4.400142351276452,-1.0170023110321544,-62.346148530210115;-23.309600830078125,17.705230712890625,-5.847499847412109;8.233709160555225,7.722547452500918,-58.61361325667335;-7.0036876657121265,7.617505999128158,-93.38526182326359;-2.0259807625441706,-4.570321711893174,-53.59566465043936;
32.35305023436189,-60.807933659189814,-4.657000169274541;31.288379523153125,6.92482785754124,-9.64041498359076;-9.704538604369043,8.134518642206968,2.0190348045037485;10.25654096301601,-6.922464726905137,9.407052676509256;5.2017702394246985,5.018063065128142,-59.51138355773499;-2.8508675365039857,0.6743503463324404,-108.05644849435492;-0.7476654200992854,2.1886477429327353,-69.92931139921767;-0.24300286758614417,11.150159122904906,-62.42125339510167;-1.4030126572111377,0.6507117121784969,-105.60875790525353;-9.979192436535987,3.1884885190470946,-63.824645322393906;-4.871795704614942,15.164572372571481,-65.76752261077533;-5.071193536817789,1.951269402711501,-104.93250961650124;-4.538257163072171,-0.7309774363985166,-66.52633639366121;-23.309600830078125,17.705230712890625,-5.847499847412109;8.219618232719409,2.9797682408748414,-60.21821501834569;-6.987983749742494,7.810090357386129,-97.69763777203673;-2.227775748446617,-4.251728533110271,-61.85459806230746;
32.43995529299302,-60.81624969542386,-4.891327238000372;31.295238786057674,7.026906706854826,-9.587328030338751;-9.806104814778172,8.12955969752026,3.5078939817870616;10.188574925919632,-6.933365886900205,8.5834688766024;5.173871469869659,3.365684134346414,-63.053558973023;-2.8508918936523377,0.6743727916414535,-108.04276815586599;-0.7371715396387483,2.158485507944403,-71.43871652786513;-0.2692421434652916,10.357863211077253,-66.35043981267665;-1.403125401007515,0.6502364689414499,-105.36932383232944;-10.000011275439714,3.2324072249380844,-64.32368802389169;-4.931350692861852,14.033662711586242,-69.8359201680419;-5.07237718286488,1.9461114299466746,-104.69008578896792;-4.551837970036306,-0.6987170484891334,-66.98481514235414;-23.309600830078125,17.705230712890625,-5.847499847412109;8.10285604535656,0.9212992446263888,-64.88496243171993;-6.981174849410985,7.855401098934072,-98.7068630353503;-2.2532237031809537,-4.202758783052695,-63.06149883350349;
32.07007723925297,-60.78232254262749,-3.894683645122095;31.406480910389988,8.803012957050772,-8.663283479275254;-9.690014983833628,8.13507119330243,1.8064388728503786;10.15208804888723,-6.93903464504758,8.142459956363762;5.204259304555445,3.4758181168868125,-64.67762131944183;-2.8509159679189304,0.674388230170484,-108.02934956168261;-0.7383581278778132,2.161769374690576,-71.27111711787438;-0.28571307377140615,9.961294126395973,-67.05762260604348;-1.4032889391120364,0.6496058617895125,-105.04811865362839;-10.039293375748674,3.318256406322984,-65.29369336596763;-4.921948944078356,14.174066210164531,-69.89155462400278;-5.067254920122517,1.963592421298154,-105.49287112697598;-4.560440887274749,-0.6774558156639998,-67.2853236553719;-23.309600830078125,17.705230712890625,-5.847499847412109;8.107784525766878,1.2560725725210107,-64.80181114492018;-6.9823492109094865,7.843707604630599,-98.43848999114371;-2.2712721926812227,-4.1662249742890545,-63.95167024436675;
32.5514822398192,-60.82794031654542,-5.192880923446291;31.507690173805535,10.957422912179137,-7.538856936762224;-9.731121799469832,8.133490495234962,2.4085114474716907;10.201603028660958,-6.931417637593233,8.741210775983212;5.206436047260988,3.278948780081614,-65.5276040296252;-2.850893498512864,0.6743007881648715,-108.0798959839006;-0.7393431239388342,2.1648604510851426,-71.11987897675345;-0.28705301402419753,9.885698716005033,-67.96238767477952;-1.403407108927083,0.6491469083067734,-104.82691285471324;-10.034254126848976,3.306259423526237,-65.16129798775101;-4.943366009642897,13.798970117253615,-70.78453803874908;-5.069375112521717,1.9572259145453361,-105.20448441526233;-4.570319590115805,-0.6543401709788343,-67.61639311155696;-23.309600830078125,17.705230712890625,-5.847499847412109;8.112607906281704,1.445651678716536,-64.63219292261553;-6.984840942395337,7.830074463824053,-98.1392491394457;-2.301407091699324,-4.1025671555505445,-65.49324983915413;
